Member ID,Last name,First name,Phone 1,Phone 2,Company,Street,Apt/Ste/Unit,City,State,Country,Zip Code,Membership end date,Website
sakaguchiabbas@email.com,Sakaguchi,Abbas,991-312-0859,447.581.1695x87012,Shannon-Harmon,25 Dyas Rd,Ste. 101,North York,ON,Canada,M3B 1V7,3/27/2022,curtis-archer.info
dorionrichard@email.com,Dorion,Richard,+1-841-655-9574x649,+1-163-615-2531x196,Wilkinson Inc,7101 Notre Dame St ,,Montreal,QC,Canada,H1N 2G4,2/29/2022,barr.org
gougeonsanjay@email.com,Gougeon,Sanjay,8553315303,007-978-8023x5539,Reed-Duffy,8580 Esplanade Ave,,Montreal,QC,Canada,H2P 2R8,11/9/2021,chaney.info
wrightmohamed@email.com,Wright,Mohamed,+1-976-946-9537x3871,855.438.3570,"Haynes, Combs and Murillo",135 Dundas St,,Cambridge,ON,Canada,N1R 5X1,5/31/2022,www.moore.com
romanmarian@email.com,Roman,Marian,200.514.1049x8785,664.086.6720x31092,Ballard-Wagner,135 Dundas St,,Cambridge,ON,Canada,N1R 5X1,5/31/2022,myers.org
mcdiarmidqasim@email.com,McDiarmid,Qasim,(697)793-1252x89047,715-480-1272x800,Craig-Terrell,979 Cameron St,,Cumberland,ON,Canada,K4C 1A1,12/11/2021,www.kelly.com
ouelletanthony@email.com,Ouellet,Anthony,001-423-840-8414x8487,+1-669-970-7521x862,Parker-Silva,5600 Côte de Liesse,,Mont-Royal,QC,Canada,H4T 4L1,11/16/2022,www.park.com
luehofbill@email.com,Luehof,Bill,099.650.6578x8956,938.824.8764,Morgan LLC,155 Oakdale Rd,Unit 109,North York,ON,Canada,M3N 1W2,5/31/2022,waller.com
allairetony@email.com,Allaire,Tony,001-462-834-1009x40782,+1-819-553-6170x0036,"Allison, Ward and Lynn",805 Route 143,,St Bonaventure,QC,Canada,J0C 1C0,3/31/2022,www.sanford.info
kitherluc@email.com,Kither,Luc,1210697901,012-717-5375,"Andersen, Gaines and Norman",13 Alleyne Ave,,ARMADALE,VIC,Australia,3143,11/30/2022,ellison-cobb.com
allisonchristian@email.com,Allison,Christian,(769)024-8085,001-959-534-1765,"Marshall, Warren and Holloway",1068 Glenashton Dr,,Oakville,ON,Canada,L6H 4C1,4/5/2022,gonzales.com
fooioan@email.com,Foo,Ioan,077.521.8857,491-663-4316,Estes Ltd,20 Kang Choo Bin Walk,,Singapore 548241,,Singapore,,12/31/2021,lester.net
raskomohammed@email.com,Rasko,Mohammed,338-335-9171x416,+1-767-741-2616x384,Fuller Ltd,4134 134A Ave NW,,Edmonton,AB,Canada,T5A 2N5,8/17/2022,hardin.net
johnstonhenry@email.com,Johnston,Henry,(017)947-6945x09659,001-952-225-1045x832,"Werner, Best and Hurley",406 Grange Road,Apt H,Guelph,ON,Canada,n1e 7h6,3/6/2022,bartlett.com
flemingmaureen@email.com,Fleming,Maureen,(815)925-7175x4081,(616)615-9255,"Rogers, Boyle and Farmer",4828 Mount Royal Gate SW,,Calgary,AB,Canada,T3E 6K6,7/29/2022,stephens.net
tsengmichael@email.com,Tseng,Michael,+1-122-513-5302x06880,296.634.2399x39373,Gonzalez-Hurley,No 481 8F-1,,Hsin-Chu 300,,Taiwan,,12/8/2022,www.mayo.com
longleymichael@email.com,Longley,Michael,(156)633-3743x2060,001-549-475-9969x0352,Johnson Ltd,143 Huron Heights Dr,,Newmarket,ON,Canada,L3Y 4Z6,10/31/2022,wood.org
frankadil@email.com,Frank,Adil,(603)991-6573,001-566-074-0373x42276,Dougherty LLC,Ringstrasse 21,,D-97502 Euerbach,,Germany,,4/24/2022,www.goodman.com
arbuthnotvanel@email.com,Arbuthnot,Vanel,627.385.1633x91447,118.872.5638,Lamb LLC,90 Belfield Rd,,Toronto,ON,Canada,M9W 1G4,11/10/2021,www.mills.com
blackwelllee@email.com,Blackwell,Lee,001-046-751-3833x493,323.710.2957x327,Osborne Ltd,25 Helmsdale Dr,,Ottawa,ON,Canada,K2K 2S2,12/3/2021,perkins.net
greentania@email.com,Green,Tania,7856729623,350-407-8640,Price-Benton,198 Pearl Street East,,Brockville,ON,Canada,K6V 1R4,12/31/2022,www.jenkins-harrison.net
dickinsonron@email.com,Dickinson,Ron,001-928-124-3993x62776,001-999-745-4235,"Reynolds, Curtis and Lamb",C19 Shui Yun Garden,,300191 Tianjin,,China,,8/2/2022,gallagher-ellison.biz
townsendelizabeth@email.com,Townsend,Elizabeth,110.119.5793,(564)069-5663x26208,Horne and Sons,7505 134 A St,,Surrey,BC,Canada,V3W 7B3,5/31/2022,knapp-mcpherson.com
soongdanielle@email.com,Soong,Danielle,319-180-7553,070.231.7216x874,"Kaufman, Rangel and Beck",74 Apricot St,,Thornhill,ON,Canada,L3T 1C8,9/30/2022,humphrey.com
boswellrichard@email.com,Boswell,Richard,451-227-6682,624.936.0823,Vega Ltd,PO Box 652572,#3-C,Sandton,,South Africa,2020,4/30/2022,kent.biz
mailledonald@email.com,Maille,Donald,001-297-402-3698x6550,3852076147,Blankenship Group,1555 Notre Dame E,,Montreal,QC,Canada,H2L 2R5,6/28/2022,www.pacheco-hodges.org
bowersjean-marc@email.com,Bowers,Jean-Marc,918.645.0324,196-586-9447x4670,Colon-Drake,PO Box 1210,,Walkerton,ON,Canada,N0G 2U0,9/30/2022,www.serrano-lang.biz
robergepeter@email.com,Roberge,Peter,659-811-0503x688,(830)120-2630,Rollins Ltd,3535 Trans Canada Hwy,,Pointe-Claire,QC,Canada,H9R 1B4,6/30/2022,www.soto-rocha.com
newtonferdinando@email.com,Newton,Ferdinando,(603)418-3398,489-980-5927x13098,"Malone, Rowland and Bullock",RR 2,Ste. 10,Roseneath,ON,Canada,K0K 2X0,7/17/2022,guerrero-horne.com
cornelissenpeter@email.com,Cornelissen,Peter,(479)559-6654x369,834-594-5128x556,Townsend-Weber,PO Box 5517,,London,ON,Canada,N6A 4P9,11/16/2022,mcintosh-bishop.com
beaudoinshellie@email.com,Beaudoin,Shellie,+1-897-696-6031x3653,273.443.5672x527,Spears LLC,145 Jules Leger,,Boucherville,QC,Canada,J4B 7K8,12/15/2021,www.underwood.com
cowansrikanth@email.com,Cowan,Srikanth,575.959.4454x2883,(913)040-5595x86422,Holmes-Walls,30 Novopharm Ct,,Toronto,ON,Canada,M1B 2K9,12/18/2022,www.dean.biz
companysroger@email.com,Companys,Roger,397-504-3967x1627,400.296.8618x968,Huynh-Phillips,J Tarradellas 95 2.4,,08029 Barcelona,,Spain,,5/31/2022,www.dalton.com
gloutnaydon@email.com,Gloutnay,Don,870-417-5661x107,001-793-402-5061x556,Cohen-Henderson,610 Des Tulipes,,La Prairie,QC,Canada,J5R 5K2,10/31/2022,lynn.com
tardimohammed@email.com,Tardi,Mohammed,366.661.5271x8254,785.359.4718x9134,Bowen Inc,1550 United Blvd,,Coquitlam,BC,Canada,V3K 6Y7,9/19/2022,brown.biz
alonsomichael@email.com,Alonso,Michael,380.617.7801x03749,(114)259-4382x840,"Hogan, Rice and Roy",Paseo de la Habana 84 6-B,,28036 MADRID,,Spain,,3/13/2022,www.cooke.com
legentilcharles@email.com,Legentil,Charles,061-967-9081,-3470,Farrell-Bryan,100 Boul Alexis-Nihon,A-18,Saint-Laurent,QC,Canada,H4M 2N9,6/30/2022,zamora-ross.org
fielenbachgordon@email.com,Fielenbach,Gordon,(079)417-9763x1173,+1-729-401-8838x87500,Boyer-Hart,Ruettmattstr 14,,D-79713 Bad Saeckingen,,Germany,,6/30/2022,estes.com
verwoerdrobert@email.com,Verwoerd,Robert,236.969.0967,001-632-797-8496x863,Glover-Roberts,Fagot 35,,6644 AZ Ewijk,,Netherlands,,3/14/2022,www.anthony-davis.info
brunsj clark@email.com,Bruns,J Clark,(504)650-1379,4712298657,Mckenzie-Simon,135 Dundas St,Apt. 4,Cambridge,ON,Canada,N1R 5X1,5/31/2022,www.barry.com
desbienseriks@email.com,Desbiens,Eriks,(996)187-8214,052.968.8180,"Booker, Castillo and Beck",14 Saint Onge,,Chateauguay,QC,Canada,J6J 5T8,3/31/2022,www.gutierrez.com
landrybernard@email.com,Landry,Bernard,(907)325-7885x7308,762-711-5467x5074,Mercer-Booth,3000 Cote Sainte Catherine ,,Montreal,QC,Canada,H3T 2A7,6/30/2022,www.wyatt.com
murphyclaude@email.com,Murphy,Claude,499.678.2793x98018,001-516-823-2327,Thompson-Fritz,Townhouse 26,,Mississauga,ON,Canada,L5A 3G8,1/31/2022,www.velasquez-white.org
labbeluc@email.com,L'Abbe,Luc,(333)046-0351x615,+1-201-503-1285x2179,"Fleming, Zamora and Graham",79 De Varsovie,,Laval,QC,Canada,H7K 2G8,10/1/2022,www.owen.org
bicklejan@email.com,Bickle,Jan,001-678-518-4984,875-641-0333x950,Tanner-Richards,816 Finley Ave,,Ajax,ON,Canada,L1S 3Z4,10/31/2022,www.richard-horne.biz
gravelallen@email.com,Gravel,Allen,001-662-590-1788x0872,(143)161-4985x7802,Navarro-Payne,4278 Beaconfield,#3271,Montreal,QC,Canada,H4A 2H3,5/14/2022,www.matthews-ware.com
beaudoinwally@email.com,Beaudoin,Wally,815.244.2002x72047,6212709355,Conrad-Hanson,600 Dr Frederik Philips Blvd,,Saint-Laurent,QC,Canada,H4M 2S9,2/17/2022,www.donaldson-vega.com
livingstonejohn@email.com,Livingstone,John,256-921-9316x481,530.747.6571x6219,Bernard and Sons,51 Craig Dr,,Kentville,NS,Canada,B4N 5H2,8/22/2022,www.barron.com
dusomegeoff@email.com,Dusome,Geoff,159.547.6407,001-166-934-2168x4200,"Rodgers, Bullock and Daniels",15 Vanderbilt Dr,,Winnipeg,MB,Canada,R3Y 1M8,10/31/2022,colon.com
sauter millerroshni@email.com,Sauter Miller,Roshni,912.173.7608,126-581-3225x65166,"Schaefer, Hobbs and Wells",PO Box 2288,,1000 San Jose,,Costa Rica,,10/30/2022,fritz-alexander.org
silvadavid@email.com,Silva,David,396.483.1471x07583,+1-496-386-6284x84289,Blackwell-Randall,Sortieweg 39,,6219 NT MAASSTRICHT,,Netherlands,,10/31/2022,randolph-kane.biz
bergkampbrian@email.com,Bergkamp,Brian,241.537.5263x1064,+1-091-580-3447x663,Perry and Sons,Landheuvel 3,,5685 BC BEST,,Netherlands,,7/24/2022,murray.com
daamendean@email.com,Daamen,Dean,807.797.8740,005-389-4368x70486,"Fleming, Johns and Morrow",Gesloten Stad 20,Unit 10,3823 DP AMERSFOORT,,Netherlands,,7/15/2022,www.lin-flowers.com
bechtelester@email.com,Bechte,Lester,159-731-3544x87205,752.880.9590x311,Ingram-Murphy,Ricklinger Stadweg 120,,30459 Hannover,,Germany,,12/15/2021,booth.com
meyersreinaldo@email.com,Meyers,Reinaldo,(020)378-7777x162,(551)426-3999x95752,"Parsons, Kerr and Robbins",PO Box 10747,,Dhahran,,Saudi Arabia,31311,9/19/2022,www.austin.com
peddie-vasquezlinda@email.com,Peddie-Vasquez,Linda,776.325.2657,793-131-4867,"Ali, Woodward and Woodard",14 Bythia Street,Ste. 900,Orangeville,ON,Canada,L9W 2S1,2/27/2022,www.ayers-jensen.com
remeckileigh@email.com,Remecki,Leigh,(981)851-6829,(443)349-2802x1242,"Galloway, Owen and Ibarra",12800 Rue de L'Avenir,,Mirabel,QC,Canada,J7J 1R4,5/31/2022,castillo.com
wesenbergcornelis@email.com,Wesenberg,Cornelis,578-124-7689x3297,069-988-0883,Zamora and Sons,3000 Merivale Rd,,Ottawa,ON,Canada,K2G 6N7,11/30/2021,moon-parsons.com
kaufmanalan@email.com,Kaufman,Alan,001-773-187-1234x94616,070-346-3476,Francis-Kline,54 Lewis Cres,,Kitchener,ON,Canada,N2A 2T6,1/8/2022,hooper-humphrey.com
ennsjohn@email.com,Enns,John,001-219-079-3350x2930,659-301-1825x6764,Jones and Sons,55 Summit Street,,Calgary,AB,Canada,T2N 1N4,4/24/2022,www.waller.com
myersharuki@email.com,Myers,Haruki,795-178-9635x4691,470-901-6154x7351,Montoya PLC,6150 Kennedy Rd,Unit 10,Mississauga,ON,Canada,L5T 2J4,6/30/2022,www.rosario.com
homburgphillipe@email.com,Homburg,Phillipe,803.568.5156x37413,(534)578-6289,Pugh-Odom,De Hulk 16,,4002 GB TIEL,,Netherlands,,5/16/2022,lawrence.biz
ulmerdonald@email.com,Ulmer,Donald,5756499602,749-695-2828,Rhodes-Carter,1803 Lahey Ct,,Kanata,ON,Canada,K2W 1B2,1/4/2022,kirk.org
alarieandre@email.com,Alarie,Andre,797.490.4550,930-650-3473x47188,Estrada-Atkins,160 Cote Rouge,,Saint-Romuald,QC,Canada,G6W 5Y2,10/10/2022,www.boone.com
