Index,CustomerId,Customer ID Length,First Name,Last Name,Name,Company,City,Country,Phone 1,Phone 2,Missing Phone,Email,Subscription Date,Website,Subscriptions After 2022
1,CbAE1d1e9a8dCb1,15,Laurie,Pennington,Laurie Pennington,"Sanchez, Marsh and Hale",Port Katherineville,Dominica,229-077-5154,809-862-5566,FALSE,cookejill@powell.com,6/8/2020,http://www.hebert.com/,20
2,C681dDd0cc422f7,15,Kelli,Hardy,Kelli Hardy,Petty Ltd,Huangfort,Sao Tome and Principe,515-343-5776,424-157-8216,FALSE,kristopher62@oliver.com,12/20/2020,http://www.kidd.com/,
3,421a109cABDf5fa,15,Virginia,Dudley,Virginia Dudley,Warren Ltd,Hartbury,French Southern Territories,,439-171-1846,TRUE,zvalencia@phelps.com,1/31/2021,http://hunter-esparza.com/,
4,CEDec94deE6d69B,15,Jenna,Dodson,Jenna Dodson,"Hoffman, Reed and Mcclain",East Andrea,Vietnam,808-617-6467,556-888-3485,FALSE,mark42@robbins.com,11/29/2020,http://www.douglas.net/,
5,BF6a1f9bd1bf8DE,15,Brittany,Zuniga,Brittany Zuniga,Mason-Hester,West Reginald,Kyrgyz Republic,234-203-0635,480-851-2496,FALSE,mchandler@cochran-huerta.org,7/24/2021,http://www.boyle.com/,
6,5ef6d3eefdD43bE,15,Nina,Chavez,Nina Chavez,Byrd-Campbell,Cassidychester,Bhutan,283-437-3886,330-920-5422,FALSE,elliserica@frank.com,3/26/2020,https://www.pugh.com/,
7,17aD8e2dB3df03D,15,Sherry,Garza,Sherry Garza,Anderson Ltd,West John,Poland,496-452-6181,978-289-8785,FALSE,ann48@miller.com,11/1/2021,http://spence.com/,
8,CBCd2Ac8E3eBDF9,15,Alexandria,Buck,Alexandria Buck,Keller-Coffey,Nicolasfort,Iran,583-352-7197,414-112-8700,FALSE,lee48@manning.com,2/20/2021,https://ramsey.org/,
9,BE91A0bdcA49Bbc,15,Darrell,Douglas,Darrell Douglas,"Newton, Petersen and Mathis",Daisyborough,Mali,854-138-4911,769-564-6303,FALSE,grayjean@lowery-good.com,2/17/2022,https://banks.biz/,
10,efeb73245CDf1fF,15,Vernon,Kane,Vernon Kane,Carter-Strickland,Thomasfurt,Yemen,739-218-2516,499-608-4612,FALSE,hilljesse@barrett.info,4/15/2021,http://www.duffy-hensley.net/,
