Index,Customer Id,First Name,Last Name,Name,Company,City,Country,Phone 1,Ext.1,Phone 2,Ext.2,Missing Phone,Email,Subscription Date,Website,Before 2022
1,DD37Cf93aecA6Dc,Sheryl,Baxter,Sheryl Baxter,Rasmussen Group,East Leonard,Chile,229-077-5154,,397-884-0519,718,FALSE,zunigavanessa@smith.info,8/24/20,http://www.stephenson.com/,1
2,1Ef7b82A4CAAD10,Preston,Lozano,Preston Lozano,Vega-Gentry,East Jimmychester,Djibouti,515-343-5776,,686-620-1820,944,FALSE,vmata@colon.com,4/23/21,http://www.hobbs.com/,1
3,6F94879bDAfE5a6,Roy,Berry,Roy Berry,Murillo-Perry,Isabelborough,Antigua and Barbuda,-1199,,496-978-3969,58947,FALSE,beckycarr@hogan.com,3/25/20,http://www.lawrence.com/,1
4,5Cef8BFA16c5e3c,Linda,Olsen,Linda Olsen,"Dominguez, Mcmillan and Donovan",Bensonview,Dominican Republic,808-617-6467,12895,-9892,,FALSE,stanleyblackwell@benson.org,6/2/20,http://www.good-lyons.com/,1
5,053d585Ab6b3159,Joanna,Bender,Joanna Bender,"Martin, Lang and Andrade",West Priscilla,Slovakia (Slovak Republic),234-203-0635,76146,199-446-3860,3486,FALSE,colinalvarado@miles.net,4/17/21,https://goodwin-ingram.com/,1
6,2d08FB17EE273F4,Aimee,Downs,Aimee Downs,Steele Group,Chavezborough,Bosnia and Herzegovina,283-437-3886,88321,999-728-1637,,FALSE,louis27@gilbert.com,2/25/20,http://www.berger.net/,1
7,EA4d384DfDbBf77,Darren,Peck,Darren Peck,"Lester, Woodard and Mitchell",Lake Ana,Pitcairn Islands,496-452-6181,3291,-1475,4995,FALSE,tgates@cantrell.com,8/24/21,https://www.le.com/,1
8,0e04AFde9f225dE,Brett,Mullen,Brett Mullen,"Sanford, Davenport and Giles",Kimport,Bulgaria,583-352-7197,297,333-145-0369,,FALSE,asnow@colon.com,4/12/21,https://hammond-ramsey.com/,1
9,C2dE4dEEc489ae0,Sheryl,Meyers,Sheryl Meyers,Browning-Simon,Robersonstad,Cyprus,854-138-4911,5772,-3633,729,FALSE,mariokhan@ryan-pope.org,1/13/20,https://www.bullock.net/,1
10,8C2811a503C7c5a,Michelle,Gallagher,Michelle Gallagher,Beck-Hendrix,Elaineberg,Timor-Leste,739-218-2516,459,054-401-0347,617,FALSE,mdyer@escobar.net,11/8/21,https://arias.com/,1
11,216E205d6eBb815,Carl,Schroeder,Carl Schroeder,"Oconnell, Meza and Everett",Shannonville,Guernsey,637-854-0256,825,114-336-0784,788,FALSE,kirksalas@webb.com,10/20/21,https://simmons-hurley.com/,1
12,CEDec94deE6d69B,Jenna,Dodson,Jenna Dodson,"Hoffman, Reed and Mcclain",East Andrea,Vietnam,041-737-3846,,-4928,42608,FALSE,mark42@robbins.com,11/29/20,http://www.douglas.net/,1
13,e35426EbDEceaFF,Tracey,Mata,Tracey Mata,Graham-Francis,South Joannamouth,Togo,949-844-8787,,855-713-8773,,FALSE,alex56@walls.org,12/2/21,http://www.beck.com/,1
14,A08A8aF8BE9FaD4,Kristine,Cox,Kristine Cox,Carpenter-Cook,Jodyberg,Sri Lanka,786-284-3358,62152,-2737,8074,FALSE,holdenmiranda@clarke.com,2/8/21,https://www.brandt.com/,1
15,6fEaA1b7cab7B6C,Faith,Lutz,Faith Lutz,Carter-Hancock,Burchbury,Singapore,781-861-7180,8306,207-185-3665,,FALSE,cassieparrish@blevins-chapman.net,1/26/22,http://stevenson.org/,0
16,8cad0b4CBceaeec,Miranda,Beasley,Miranda Beasley,Singleton and Sons,Desireeshire,Oman,540-085-3135,185,-7493,21881,FALSE,vduncan@parks-hardy.com,4/12/22,http://acosta.org/,0
17,a5DC21AE3a21eaA,Caroline,Foley,Caroline Foley,Winters-Mendoza,West Adriennestad,Western Sahara,936-222-4746,9924,469-948-6341,359,FALSE,holtgwendolyn@watson-davenport.com,3/10/21,http://www.benson-roth.com/,1
18,F8Aa9d6DfcBeeF8,Greg,Mata,Greg Mata,Valentine LLC,Lake Leslie,Mozambique,701-087-2415,,195-156-1861,26241,FALSE,jaredjuarez@carroll.org,3/26/22,http://pitts-cherry.com/,0
19,F160f5Db3EfE973,Clifford,Jacobson,Clifford Jacobson,Simon LLC,Harmonview,South Georgia and the South Sandwich Islands,151-330-3524,469,748-477-7174,,FALSE,joseph26@jacobson.com,9/24/20,https://mcconnell.com/,1
20,0F60FF3DdCd7aB0,Joanna,Kirk,Joanna Kirk,Mays-Mccormick,Jamesshire,French Polynesia,266-131-7001,711,283-312-5579,11543,FALSE,tuckerangie@salazar.net,9/24/21,https://www.camacho.net/,1
21,9F9AdB7B8A6f7F2,Maxwell,Frye,Maxwell Frye,Patterson Inc,East Carly,Malta,423-262-3059,,202-880-0688,7491,FALSE,fgibson@drake-webb.com,1/12/22,http://www.roberts.com/,0
22,FBd0Ded4F02a742,Kiara,Houston,Kiara Houston,"Manning, Hester and Arroyo",South Alvin,Netherlands,274-040-3582,10611,-1675,4684,FALSE,blanchardbob@wallace-shannon.com,9/15/20,https://www.reid-potts.com/,1
23,2FB0FAA1d429421,Colleen,Howard,Colleen Howard,Greer and Sons,Brittanyview,Paraguay,193-508-5151,,947-115-7711,5488,FALSE,rsingleton@ryan-cherry.com,8/19/20,http://paul.biz/,1
24,010468dAA11382c,Janet,Valenzuela,Janet Valenzuela,Watts-Donaldson,Veronicamouth,Lao People's Democratic Republic,354-259-5062,7538,500-433-2022,,FALSE,stefanie71@spence.com,9/8/20,https://moreno.biz/,1
25,eC1927Ca84E033e,Shane,Wilcox,Shane Wilcox,Tucker LLC,Bryanville,Albania,429-005-9030,11004,541-116-4501,,FALSE,mariah88@santos.com,4/6/21,https://www.ramos.com/,1
26,09D7D7C8Fe09aea,Marcus,Moody,Marcus Moody,Giles Ltd,Kaitlyntown,Panama,674-677-8623,,909-277-5485,566,FALSE,donnamullins@norris-barrett.org,5/24/22,https://www.curry.com/,0
27,aBdfcF2c50b0bfD,Dakota,Poole,Dakota Poole,Simmons Group,Michealshire,Belarus,371-987-8576,4720,071-152-1376,,FALSE,stacey67@fields.org,2/20/22,https://sanford-wilcox.biz/,0
28,b92EBfdF8a3f0E6,Frederick,Harper,Frederick Harper,"Hinton, Chaney and Stokes",South Marissatown,Switzerland,-1755,687,264-742-7149,,FALSE,jacobkhan@bright.biz,5/26/22,https://callahan.org/,0
29,3B5dAAFA41AFa22,Stefanie,Fitzpatrick,Stefanie Fitzpatrick,Santana-Duran,Acevedoville,Saint Vincent and the Grenadines,752-776-3286,,-5306,85074,FALSE,wterrell@clark.com,7/30/20,https://meyers.com/,1
