Index,CustomerId,length of customer id,Name,First Name,Last Name,Company,City,Country,Phone 1,Phone 2,Email,Subscription Date,Website,Phone 1,Extension,,Missing Phone,count,Formatted website
1,DD37Cf93aecA6Dc,15,Sheryl Baxter,Sheryl,Baxter,Rasmussen Group,East Leonard,Chile,229.077.5154,397.884.0519x718,zunigavanessa@smith.info,8/24/2020,http://www.stephenson.com/,229-077-5154,,,FALSE,81,http://http://www.stephenson.com//
2,1Ef7b82A4CAAD10,15,Preston Lozano,Preston,Lozano,Vega-Gentry,East Jimmychester,Djibouti,5153435776,686-620-1820x944,vmata@colon.com,4/23/2021,http://www.hobbs.com/,515-343-5776,,5153435776,FALSE,,http://http://www.hobbs.com//
3,6F94879bDAfE5a6,15,Roy Berry,Roy,Berry,Murillo-Perry,Isabelborough,Antigua and Barbuda,-1199,(496)978-3969x58947,beckycarr@hogan.com,3/25/2020,http://www.lawrence.com/,-1199,,,FALSE,,http://http://www.lawrence.com//
4,5Cef8BFA16c5e3c,15,Linda Olsen,Linda,Olsen,"Dominguez, Mcmillan and Donovan",Bensonview,Dominican Republic,001-808-617-6467x12895,-9892,stanleyblackwell@benson.org,6/2/2020,http://www.good-lyons.com/,808-617-6467,12895,,FALSE,,http://http://www.good-lyons.com//
5,053d585Ab6b3159,15,Joanna Bender,Joanna,Bender,"Martin, Lang and Andrade",West Priscilla,Slovakia (Slovak Republic),001-234-203-0635x76146,001-199-446-3860x3486,colinalvarado@miles.net,4/17/2021,https://goodwin-ingram.com/,234-203-0635,76146,,FALSE,,http://https://goodwin-ingram.com//
6,2d08FB17EE273F4,15,Aimee Downs,Aimee,Downs,Steele Group,Chavezborough,Bosnia and Herzegovina,(283)437-3886x88321,999-728-1637,louis27@gilbert.com,2/25/2020,http://www.berger.net/,283-437-3886,88321,,FALSE,,http://http://www.berger.net//
7,EA4d384DfDbBf77,15,Darren Peck,Darren,Peck,"Lester, Woodard and Mitchell",Lake Ana,Pitcairn Islands,(496)452-6181x3291,+1-247-266-0963x4995,tgates@cantrell.com,8/24/2021,https://www.le.com/,496-452-6181,3291,,FALSE,,http://https://www.le.com//
8,0e04AFde9f225dE,15,Brett Mullen,Brett,Mullen,"Sanford, Davenport and Giles",Kimport,Bulgaria,001-583-352-7197x297,001-333-145-0369,asnow@colon.com,4/12/2021,https://hammond-ramsey.com/,583-352-7197,297,,FALSE,,http://https://hammond-ramsey.com//
9,C2dE4dEEc489ae0,15,Sheryl Meyers,Sheryl,Meyers,Browning-Simon,Robersonstad,Cyprus,854-138-4911x5772,+1-448-910-2276x729,mariokhan@ryan-pope.org,1/13/2020,https://www.bullock.net/,854-138-4911,5772,,FALSE,,http://https://www.bullock.net//
10,8C2811a503C7c5a,15,Michelle Gallagher,Michelle,Gallagher,Beck-Hendrix,Elaineberg,Timor-Leste,739.218.2516x459,001-054-401-0347x617,mdyer@escobar.net,11/8/2021,https://arias.com/,739-218-2516,459,,FALSE,,http://https://arias.com//
11,216E205d6eBb815,15,Carl Schroeder,Carl,Schroeder,"Oconnell, Meza and Everett",Shannonville,Guernsey,637-854-0256x825,114.336.0784x788,kirksalas@webb.com,10/20/2021,https://simmons-hurley.com/,637-854-0256,825,,FALSE,,http://https://simmons-hurley.com//
12,CEDec94deE6d69B,15,Jenna Dodson,Jenna,Dodson,"Hoffman, Reed and Mcclain",East Andrea,Vietnam,(041)737-3846,+1-556-888-3485x42608,mark42@robbins.com,11/29/2020,http://www.douglas.net/,041-737-3846,,,FALSE,,http://http://www.douglas.net//
13,e35426EbDEceaFF,15,Tracey Mata,Tracey,Mata,Graham-Francis,South Joannamouth,Togo,001-949-844-8787,(855)713-8773,alex56@walls.org,12/2/2021,http://www.beck.com/,949-844-8787,,,FALSE,,http://http://www.beck.com//
14,A08A8aF8BE9FaD4,15,Kristine Cox,Kristine,Cox,Carpenter-Cook,Jodyberg,Sri Lanka,786-284-3358x62152,+1-315-627-1796x8074,holdenmiranda@clarke.com,2/8/2021,https://www.brandt.com/,786-284-3358,62152,,FALSE,,http://https://www.brandt.com//
